"","scientific_name","order_name","family_name","genus_name","category","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","Mass.g","functional_group","accepted_spp_name","combined_fn_group","combined_body_mass","phyl_eltonian_ftn_gp"
"5125","Rhinopithecus strykeri","PRIMATES","CERCOPITHECIDAE","Rhinopithecus","CR",0,0,0,3,3,0,0,0,3,0,0,3,3,0,0,0,11250,"Herbivore_terrestrial","Rhinopithecus strykeri","Herbivore_terrestrial",11250,"Omnivore"
"5126","Plecturocebus caquetensis","PRIMATES","PITHECIIDAE","Plecturocebus","CR",0,0,3,3,0,0,0,0,3,0,3,3,3,3,3,0,915,"Herbivore_terrestrial","Plecturocebus caquetensis","Herbivore_terrestrial",915,"Omnivore"
"5127","Thylamys pallidior","DIDELPHIMORPHIA","DIDELPHIDAE","Thylamys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,"Invertivore","Thylamys pallidior","Invertivore",14.9,"Invertivore"
"5128","Isothrix barbarabrownae","RODENTIA","ECHIMYIDAE","Isothrix","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.3,"Herbivore_terrestrial","Isothrix barbarabrownae","Herbivore_terrestrial",130.3,"Omnivore"
"5129","Microcebus margotmarshae","PRIMATES","CHEIROGALEIDAE","Microcebus","EN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,"Omnivore","Microcebus margotmarshae","Omnivore",49,"Omnivore"
"5130","Microcebus arnholdi","PRIMATES","CHEIROGALEIDAE","Microcebus","VU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"Omnivore","Microcebus arnholdi","Omnivore",45,"Omnivore"
"5131","Microcebus macarthurii","PRIMATES","CHEIROGALEIDAE","Microcebus","EN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,"Herbivore_terrestrial","Microcebus macarthurii","Herbivore_terrestrial",53,"Omnivore"
"5132","Microcebus gerpi","PRIMATES","CHEIROGALEIDAE","Microcebus","CR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,"Herbivore_terrestrial","Microcebus gerpi","Herbivore_terrestrial",68,"Omnivore"
"5133","Lepilemur hollandorum","PRIMATES","LEPILEMURIDAE","Lepilemur","CR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Herbivore_terrestrial","Lepilemur hollandorum","Herbivore_terrestrial",1000,"Omnivore"
"5134","Lepilemur scottorum","PRIMATES","LEPILEMURIDAE","Lepilemur","EN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,"Herbivore_terrestrial","Lepilemur scottorum","Herbivore_terrestrial",880,"Omnivore"
"5135","Avahi mooreorum","PRIMATES","INDRIIDAE","Avahi","EN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,"Herbivore_terrestrial","Avahi mooreorum","Herbivore_terrestrial",920,"Omnivore"
"5136","Macroscelides proboscideus","MACROSCELIDEA","MACROSCELIDIDAE","Macroscelides","LC",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,38.2,"Invertivore","Macroscelides proboscideus","Invertivore",38.2,"Invertivore"
"5137","Macroscelides flavicaudatus","MACROSCELIDEA","MACROSCELIDIDAE","Macroscelides","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4,"Invertivore","Macroscelides flavicaudatus","Invertivore",40.4,"Invertivore"
"5138","Macroscelides micus","MACROSCELIDEA","MACROSCELIDIDAE","Macroscelides","LC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,"Invertivore","Macroscelides micus","Invertivore",27,"Invertivore"
"5139","Apodemus avicennicus","RODENTIA","MURIDAE","Apodemus","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.7,"Herbivore_terrestrial","Apodemus avicennicus","Herbivore_terrestrial",30.7,"Omnivore"
