"","IUCN_Species","Avonet_Species","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","category","Mass","Trophic_Niche","Genus","Genus_Avg_Mass","Genus_Trophic_data","Genus_Trophic","Body_Mass","Functional_Group"
"8856","Agelaius assimilis","Agelaius assimilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",47.7,"Omnivore","Agelaius",46.22,5,"Invertivore",47.7,"Omnivore"
"8857","Icterus bullockiorum","Icterus bullockiorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",37.9,"Invertivore","Icterus",37.8882352941176,34,"Omnivore",37.9,"Invertivore"
"8858","Icterus abeillei","Icterus abeillei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",33,"Invertivore","Icterus",37.8882352941176,34,"Omnivore",33,"Invertivore"
"8859","Lonchura atricapilla","Lonchura atricapilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",12.4,"Granivore","Lonchura",12.5068965517241,29,"Granivore",12.4,"Granivore"
"8860","Baeolophus ridgwayi","Baeolophus ridgwayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",15.9,"Invertivore","Baeolophus",16.26,5,"Invertivore",15.9,"Invertivore"
"8861","Garrodia nereis","Garrodia nereis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"LC",38.2,"Aquatic predator","Garrodia",38.2,1,"Aquatic predator",38.2,"Aquatic predator"
"8862","Psittacara rubritorquis","Psittacara rubritorquis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",212,"Frugivore","Psittacara",168.181818181818,11,"Frugivore",212,"Frugivore"
"8863","Glaucidium parkeri","Glaucidium parkeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",61.4,"Vertivore","Glaucidium",81.8178571428571,28,"Invertivore",61.4,"Vertivore"
"8864","Phyllaemulor bracteatus","Phyllaemulor bracteatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",51.7,"Invertivore","Phyllaemulor",51.7,1,"Invertivore",51.7,"Invertivore"
"8865","Chordeiles rupestris","Chordeiles rupestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",52.3,"Invertivore","Chordeiles",69.9333333333333,6,"Invertivore",52.3,"Invertivore"
"8866","Antrostomus ekmani","Antrostomus ekmani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",64,"Invertivore","Antrostomus",64.35,12,"Invertivore",64,"Invertivore"
"8867","Heliangelus micraster","Heliangelus micraster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",3.9,"Nectarivore","Heliangelus",4.68888888888889,9,"Nectarivore",3.9,"Nectarivore"
"8868","Momotus aequatorialis","Momotus aequatorialis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",158,"Invertivore","Momotus",112.828571428571,7,"Omnivore",158,"Invertivore"
"8869","Phacellodomus maculipectus","Phacellodomus maculipectus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",21.9,"Invertivore","Phacellodomus",26.67,10,"Invertivore",21.9,"Invertivore"
